city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
658225,Helsinki,FI,60.17,24.94,01/24/20,            31.44,92,20,8.05
508034,Podporozhye,RU,60.91,34.17,01/24/20,            29.08,90,60,7.72
3374210,Sao Filipe,CV,14.9,-24.5,01/24/20,            72.93,70,0,11.1
2037075,Hailin,CN,44.58,129.42,01/24/20,            -10.1,94,0,2.13
2012530,Zhigansk,RU,66.77,123.37,01/24/20,            -43.58,96,57,9.1
1626542,Sorong,ID,-0.88,131.25,01/24/20,            71.92,91,27,1.61
3028351,Castelnaudary,FR,43.32,1.95,01/24/20,            45.75,93,75,10.29
1815395,Chaozhou,CN,23.67,116.64,01/24/20,            64.4,82,75,4.47
2618795,Klaksvik,FO,62.23,-6.59,01/24/20,            39.2,93,100,10.29
2297834,Mpraeso,GH,6.59,-0.73,01/24/20,            76.87,19,23,3.04
6065253,Manitouwadge,CA,49.12,-85.84,01/24/20,            28.4,86,90,4.7
3894406,Coihueco,CL,-36.62,-71.83,01/24/20,            93.2,15,0,17.22
232371,Kamwenge,UG,0.19,30.45,01/24/20,            68.45,51,77,3.31
1520281,Oytal,KZ,42.91,73.27,01/24/20,            35.37,86,86,3.31
108410,Riyadh,SA,24.69,46.72,01/24/20,            53.6,34,0,4.7
6111862,Port Hardy,CA,50.7,-127.42,01/24/20,            48.2,87,90,2.66
570427,Buzuluk,RU,52.78,52.26,01/24/20,            7.43,93,99,10.78
3381428,Iracoubo,GF,5.48,-53.2,01/24/20,            79.12,81,56,13.09
4465088,Elizabeth City,US,36.29,-76.25,01/24/20,            59.79,82,1,6.93
621277,Stolin,BY,51.89,26.85,01/24/20,            34.52,75,100,15.41
1224061,Wattegama,LK,6.8,81.48,01/24/20,            71.04,94,39,5.1
2449066,Tombouctou,ML,20,-3,01/24/20,            82,9,100,11.14
2267226,Lagos,PT,37.1,-8.67,01/24/20,            51.93,100,20,1.12
463880,Zelenets,RU,61.88,50.75,01/24/20,            17.6,92,90,8.95
4004293,Ixtapa,MX,20.7,-105.2,01/24/20,            79.81,74,5,12.75
6355222,Yulara,AU,-25.24,130.99,01/24/20,            75.2,25,10,8.05
3374083,Bathsheba,BB,13.22,-59.52,01/24/20,            82.4,74,40,11.41
2082539,Merauke,ID,-8.47,140.33,01/24/20,            74.52,96,78,7.34
3407762,Amapa,BR,1,-52,01/24/20,            77.56,92,40,5.53
1283285,Jumla,NP,29.27,82.18,01/24/20,            21.74,46,0,5.86
2447513,Arlit,NE,18.74,7.39,01/24/20,            74.39,8,100,11.72
2508807,Adrar,DZ,25.75,-1,01/24/20,            68.23,21,100,9.51
2864005,Neustrelitz,DE,53.37,13.08,01/24/20,            34.52,92,69,10.33
5731070,Hermiston,US,45.84,-119.29,01/24/20,            55.74,58,1,6.93
515879,Oktyabrskiy,RU,54.48,53.47,01/24/20,            7.74,94,100,10.92
1815059,Chenzhou,CN,25.8,113.03,01/24/20,            42.98,93,100,5.1
2153778,Parkes,AU,-33.13,148.18,01/24/20,            69.39,27,0,7.18
5972291,Havre-Saint-Pierre,CA,50.23,-63.6,01/24/20,            12.2,47,1,5.82
3693584,Pimentel,PE,-6.84,-79.93,01/24/20,            66.2,29,97,17.22
